,type,responses,trial_type,trial_index,time_elapsed,internal_node_id,mode,subject_cond,exp,uniqueid,success,recalled_list,matching_list,missing_list,shown_list,num_correct,instructions,times,correct_sizes,used_time,list_type,reminder,display_time,id,total_points
861,text-recall,,text-recall,29.0,972940.0,0.0-31.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['LEATHER', 'FELT', 'HARMONICA', 'PENCIL', 'RAYON', 'HARP', 'PIGEON', 'PARROT', 'SPARROW']","['LEATHER', 'FELT', 'HARMONICA', 'PENCIL', 'RAYON', 'HARP', 'PIGEON', 'PARROT', 'SPARROW']","['LEVEL', 'AXE', 'SWAN', 'KEYBOARD', 'FIDDLE', 'LACE', 'SCREW']","['PENCIL', 'HARMONICA', 'FELT', 'PARROT', 'RAYON', 'LEVEL', 'AXE', 'HARP', 'SWAN', 'KEYBOARD', 'FIDDLE', 'SPARROW', 'LACE', 'PIGEON', 'SCREW', 'LEATHER']",9.0,False,"[5220, 1177, 2576, 1275, 4925, 13472, 33467, 3371, 2518]",True,90000.0,categorized_16_0,,,,
862,reminder-none,,reminder,30.0,973947.0,0.0-32.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,[],[],[],"['PENCIL', 'HARMONICA', 'FELT', 'PARROT', 'RAYON', 'LEVEL', 'AXE', 'HARP', 'SWAN', 'KEYBOARD', 'FIDDLE', 'SPARROW', 'LACE', 'PIGEON', 'SCREW', 'LEATHER']",0.0,False,[],,,categorized_16_0,,0.0,,
863,text-recall,,text-recall,33.0,1119915.0,0.0-35.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['LIZARD', 'CLARINET', 'FALCON', 'DOVE', 'CROW', 'DESTROYER', 'TANKER', 'SWAN']","['LIZARD', 'CLARINET', 'FALCON', 'DOVE', 'CROW', 'DESTROYER', 'TANKER']","['GOAT', 'ACCORDION', 'BARGE', 'FERRY', 'VULTURE', 'VIOLA', 'COW', 'SHEEP', 'BANJO']","['FALCON', 'GOAT', 'DOVE', 'CROW', 'DESTROYER', 'ACCORDION', 'BARGE', 'TANKER', 'FERRY', 'VULTURE', 'VIOLA', 'COW', 'SHEEP', 'BANJO', 'CLARINET', 'LIZARD']",7.0,False,"[2666, 2324, 1615, 993, 976, 10776, 1131, 66673]",True,90000.0,categorized_16_11,,,,
864,reminder-none,,reminder,34.0,1120922.0,0.0-36.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,[],[],[],"['FALCON', 'GOAT', 'DOVE', 'CROW', 'DESTROYER', 'ACCORDION', 'BARGE', 'TANKER', 'FERRY', 'VULTURE', 'VIOLA', 'COW', 'SHEEP', 'BANJO', 'CLARINET', 'LIZARD']",0.0,False,[],,,categorized_16_11,,0.0,,
865,text-recall,,text-recall,37.0,1250575.0,0.0-39.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['BUREAU', 'SYMPHONY', 'BADMINTON', 'HANDBALL', 'BLUEGRASS']","['BUREAU', 'SYMPHONY', 'BADMINTON', 'HANDBALL', 'BLUEGRASS']","['SUGAR', 'VANILLA', 'FENCING', 'SAGE', 'CABINET', 'OTTOMAN', 'LAMP', 'SKA', 'SOUL', 'WRESTLING', 'GINGER']","['BLUEGRASS', 'SUGAR', 'VANILLA', 'FENCING', 'HANDBALL', 'BADMINTON', 'SAGE', 'CABINET', 'OTTOMAN', 'LAMP', 'SKA', 'SOUL', 'SYMPHONY', 'WRESTLING', 'GINGER', 'BUREAU']",5.0,False,"[3577, 3304, 3055, 3066, 6968]",True,70769.0,categorized_16_1,,,,
866,reminder-best,,reminder,38.0,1277961.0,0.0-40.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,['SKA'],['SKA'],"['SUGAR', 'VANILLA', 'FENCING', 'SAGE', 'CABINET', 'LAMP', 'SOUL', 'WRESTLING', 'GINGER']","['BLUEGRASS', 'SUGAR', 'VANILLA', 'FENCING', 'HANDBALL', 'BADMINTON', 'SAGE', 'CABINET', 'OTTOMAN', 'LAMP', 'SKA', 'SOUL', 'SYMPHONY', 'WRESTLING', 'GINGER', 'BUREAU']",1.0,False,[4522],,,categorized_16_1,OTTOMAN,3000.0,,
867,text-recall,,text-recall,41.0,1378082.0,0.0-43.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['WALTZ', 'FISHING', 'DIVING', 'CANYON', 'GOLF', 'SWIMMING']","['WALTZ', 'FISHING', 'DIVING', 'CANYON', 'GOLF', 'SWIMMING']","['DESERT', 'ISLAND', 'MAROON', 'TAN', 'BROWN', 'SALSA', 'BALLROOM', 'GRAY', 'FAULT', 'TANGO']","['FISHING', 'DESERT', 'CANYON', 'ISLAND', 'GOLF', 'MAROON', 'TAN', 'BROWN', 'SALSA', 'BALLROOM', 'GRAY', 'DIVING', 'SWIMMING', 'FAULT', 'TANGO', 'WALTZ']",6.0,False,"[2441, 1345, 1906, 3742, 6432, 10934]",True,39043.0,categorized_16_9,,,,
868,reminder-worst,,reminder,42.0,1435863.0,0.0-44.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['SUGAR', 'FAULT']",['FAULT'],"['ISLAND', 'MAROON', 'TAN', 'BROWN', 'SALSA', 'BALLROOM', 'GRAY', 'TANGO']","['FISHING', 'DESERT', 'CANYON', 'ISLAND', 'GOLF', 'MAROON', 'TAN', 'BROWN', 'SALSA', 'BALLROOM', 'GRAY', 'DIVING', 'SWIMMING', 'FAULT', 'TANGO', 'WALTZ']",1.0,False,"[15331, 14342]",,,categorized_16_9,DESERT,3000.0,,
869,text-recall,,text-recall,45.0,1580575.0,0.0-47.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['HAWK', 'GYMNASTICS', 'PEACOCK', 'CHERRY', 'STRAWBERRY', 'FIG', 'POPLAR', 'WILLOW', 'PLUM', 'FIG', 'EVERGREEN', 'SKIING']","['HAWK', 'GYMNASTICS', 'PEACOCK', 'CHERRY', 'STRAWBERRY', 'FIG', 'POPLAR', 'WILLOW', 'PLUM', 'EVERGREEN', 'SKIING']","['FINCH', 'CEDAR', 'CHICKEN', 'RUGBY', 'LACROSSE']","['PLUM', 'STRAWBERRY', 'EVERGREEN', 'FINCH', 'CHERRY', 'CEDAR', 'SKIING', 'CHICKEN', 'WILLOW', 'POPLAR', 'FIG', 'RUGBY', 'PEACOCK', 'LACROSSE', 'GYMNASTICS', 'HAWK']",11.0,False,"[1981, 3178, 2580, 4975, 2200, 2667, 1334, 1787, 11175, 9242, 5838, 3534]",True,90000.0,categorized_16_4,,,,
870,reminder-none,,reminder,46.0,1581585.0,0.0-48.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,[],[],[],"['PLUM', 'STRAWBERRY', 'EVERGREEN', 'FINCH', 'CHERRY', 'CEDAR', 'SKIING', 'CHICKEN', 'WILLOW', 'POPLAR', 'FIG', 'RUGBY', 'PEACOCK', 'LACROSSE', 'GYMNASTICS', 'HAWK']",0.0,False,[],,,categorized_16_4,,0.0,,
871,text-recall,,text-recall,49.0,1730301.0,0.0-51.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['FROST', 'BLIZZARD', 'STREAM', 'GLACIER', 'WOLF', 'BASEMENT', 'MONSOON', 'POND', 'STREAM', 'LOBBY']","['FROST', 'BLIZZARD', 'STREAM', 'GLACIER', 'WOLF', 'BASEMENT', 'MONSOON', 'POND', 'LOBBY']","['OCEAN', 'DONKEY', 'BEAR', 'CEILING', 'ENTRANCE', 'WIND', 'MOOSE']","['BASEMENT', 'LOBBY', 'OCEAN', 'MONSOON', 'GLACIER', 'WOLF', 'DONKEY', 'BEAR', 'CEILING', 'POND', 'ENTRANCE', 'WIND', 'MOOSE', 'BLIZZARD', 'STREAM', 'FROST']",9.0,False,"[2326, 2622, 1575, 1316, 1357, 3682, 11678, 1406, 2739, 36099]",True,90000.0,categorized_16_6,,,,
872,reminder-none,,reminder,50.0,1731310.0,0.0-52.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,[],[],[],"['BASEMENT', 'LOBBY', 'OCEAN', 'MONSOON', 'GLACIER', 'WOLF', 'DONKEY', 'BEAR', 'CEILING', 'POND', 'ENTRANCE', 'WIND', 'MOOSE', 'BLIZZARD', 'STREAM', 'FROST']",0.0,False,[],,,categorized_16_6,,0.0,,
873,text-recall,,text-recall,53.0,1805027.0,0.0-55.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['CLIFF', 'BLUES', 'ENCYCLOPEDIA']","['CLIFF', 'BLUES', 'ENCYCLOPEDIA']","['CARRIAGE', 'BOAT', 'MANUSCRIPT', 'GORGE', 'ESSAY', 'OPERA', 'PUNK', 'PAPER', 'VAN', 'CAVE', 'TRAIN', 'FOLK', 'RIDGE']","['CARRIAGE', 'BOAT', 'MANUSCRIPT', 'GORGE', 'ESSAY', 'OPERA', 'PUNK', 'PAPER', 'VAN', 'ENCYCLOPEDIA', 'CAVE', 'TRAIN', 'FOLK', 'RIDGE', 'CLIFF', 'BLUES']",3.0,False,"[2603, 2054, 2782]",True,17852.0,categorized_16_8,,,,
874,reminder-worst,,reminder,54.0,1883866.0,0.0-56.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['FOLK', 'BOAT']","['FOLK', 'BOAT']","['CARRIAGE', 'MANUSCRIPT', 'GORGE', 'ESSAY', 'OPERA', 'PAPER', 'VAN', 'CAVE', 'TRAIN', 'RIDGE']","['CARRIAGE', 'BOAT', 'MANUSCRIPT', 'GORGE', 'ESSAY', 'OPERA', 'PUNK', 'PAPER', 'VAN', 'ENCYCLOPEDIA', 'CAVE', 'TRAIN', 'FOLK', 'RIDGE', 'CLIFF', 'BLUES']",2.0,False,"[23305, 13385]",,,categorized_16_8,PUNK,3000.0,,
875,text-recall,,text-recall,57.0,2030307.0,0.0-59.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['ELK', 'MANSION', 'CARP', 'SHARK', 'BEETLE', 'HORNET', 'WASP', 'HUT', 'CARP', 'CATFISH']","['ELK', 'MANSION', 'CARP', 'SHARK', 'BEETLE', 'HORNET', 'WASP', 'HUT', 'CATFISH']","['COD', 'MOUSE', 'PALACE', 'BUTTERFLY', 'PIG', 'TURTLE', 'COTTAGE']","['HUT', 'SHARK', 'WASP', 'COD', 'BEETLE', 'HORNET', 'MOUSE', 'PALACE', 'BUTTERFLY', 'PIG', 'TURTLE', 'CATFISH', 'CARP', 'MANSION', 'COTTAGE', 'ELK']",9.0,False,"[1687, 1257, 1122, 1384, 1848, 4469, 761, 2564, 3073, 26513]",True,90000.0,categorized_16_3,,,,
876,reminder-none,,reminder,58.0,2031315.0,0.0-60.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,[],[],[],"['HUT', 'SHARK', 'WASP', 'COD', 'BEETLE', 'HORNET', 'MOUSE', 'PALACE', 'BUTTERFLY', 'PIG', 'TURTLE', 'CATFISH', 'CARP', 'MANSION', 'COTTAGE', 'ELK']",0.0,False,[],,,categorized_16_3,,0.0,,
877,text-recall,,text-recall,61.0,2156914.0,0.0-63.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['SQUIRREL', 'BATTLESHIP', 'YACHT', 'VOLLEYBALL', 'ELEPHANT']","['SQUIRREL', 'BATTLESHIP', 'YACHT', 'VOLLEYBALL', 'ELEPHANT']","['SCHOONER', 'SOFTBALL', 'CRANE', 'BOXING', 'CANARY', 'RAT', 'TRACK', 'BUFFALO', 'SLOOP', 'PENGUIN', 'OWL']","['VOLLEYBALL', 'ELEPHANT', 'SCHOONER', 'SOFTBALL', 'CRANE', 'BOXING', 'CANARY', 'RAT', 'TRACK', 'BUFFALO', 'SLOOP', 'PENGUIN', 'YACHT', 'BATTLESHIP', 'OWL', 'SQUIRREL']",5.0,False,"[3077, 2204, 1611, 16241, 22630]",True,65348.0,categorized_16_10,,,,
878,reminder-best,,reminder,62.0,2188314.0,0.0-64.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,[],[],"['SCHOONER', 'CRANE', 'BOXING', 'CANARY', 'RAT', 'TRACK', 'BUFFALO', 'SLOOP', 'PENGUIN', 'OWL']","['VOLLEYBALL', 'ELEPHANT', 'SCHOONER', 'SOFTBALL', 'CRANE', 'BOXING', 'CANARY', 'RAT', 'TRACK', 'BUFFALO', 'SLOOP', 'PENGUIN', 'YACHT', 'BATTLESHIP', 'OWL', 'SQUIRREL']",0.0,False,[],,,categorized_16_10,SOFTBALL,3000.0,,
879,text-recall,,text-recall,65.0,2281635.0,0.0-67.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['BIRCH', 'OIL', 'BEECH', 'REDWOOD', 'JOURNAL', 'NOTE', 'PAMPHLET']","['BIRCH', 'OIL', 'BEECH', 'REDWOOD', 'JOURNAL', 'NOTE', 'PAMPHLET']","['BUCKET', 'PITCHFORK', 'SOLAR', 'REPORT', 'NUCLEAR', 'FIR', 'ELECTRICITY', 'SOIL', 'CLIPPERS']","['BUCKET', 'JOURNAL', 'PITCHFORK', 'SOLAR', 'REPORT', 'NUCLEAR', 'FIR', 'ELECTRICITY', 'SOIL', 'PAMPHLET', 'CLIPPERS', 'BEECH', 'OIL', 'NOTE', 'REDWOOD', 'BIRCH']",7.0,False,"[2157, 937, 1063, 1726, 2725, 977, 13776]",True,39410.0,categorized_16_5,,,,
880,reminder-best,,reminder,66.0,2339050.0,0.0-68.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,['FIR'],['FIR'],"['BUCKET', 'PITCHFORK', 'REPORT', 'NUCLEAR', 'ELECTRICITY', 'SOIL', 'CLIPPERS']","['BUCKET', 'JOURNAL', 'PITCHFORK', 'SOLAR', 'REPORT', 'NUCLEAR', 'FIR', 'ELECTRICITY', 'SOIL', 'PAMPHLET', 'CLIPPERS', 'BEECH', 'OIL', 'NOTE', 'REDWOOD', 'BIRCH']",1.0,False,[22783],,,categorized_16_5,SOLAR,3000.0,,
881,text-recall,,text-recall,69.0,2484172.0,0.0-71.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,"['SHORTS', 'TSUNAMI', 'EARTHQUAKE', 'REGGAE', 'JEANS', 'PLAIN', 'HAIL', 'TIE', 'SUIT', 'TECHNO', 'ELECTRICITY']","['SHORTS', 'TSUNAMI', 'EARTHQUAKE', 'REGGAE', 'JEANS', 'PLAIN', 'HAIL', 'TIE', 'SUIT', 'TECHNO']","['INSTRUMENTAL', 'POP', 'SEA', 'DROUGHT', 'RIVER', 'VALLEY']","['INSTRUMENTAL', 'PLAIN', 'HAIL', 'JEANS', 'TECHNO', 'TIE', 'SUIT', 'POP', 'SEA', 'DROUGHT', 'EARTHQUAKE', 'REGGAE', 'RIVER', 'TSUNAMI', 'VALLEY', 'SHORTS']",10.0,False,"[2302, 2784, 1745, 1076, 14910, 8209, 2074, 10817, 798, 3541, 31530]",True,90000.0,categorized_16_7,,,,
882,reminder-none,,reminder,70.0,2485182.0,0.0-72.0,pilot,108,opt-rems-full,debugt4sok:debugtym8H,False,[],[],[],"['INSTRUMENTAL', 'PLAIN', 'HAIL', 'JEANS', 'TECHNO', 'TIE', 'SUIT', 'POP', 'SEA', 'DROUGHT', 'EARTHQUAKE', 'REGGAE', 'RIVER', 'TSUNAMI', 'VALLEY', 'SHORTS']",0.0,False,[],,,categorized_16_7,,0.0,,
883,total-points,,,,,,,,,debugt4sok:debugtym8H,,,,,,,,,,,,,,debugt4sok:debugtym8H,79.0
884,survey-text,"{""Q0"":""5e95116fcd40fa88e616d9d9""}",survey-text,0.0,4982.0,0.0-0.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,,,,,,,,,,,,,,,
885,text-recall,,text-recall,25.0,614762.0,0.0-27.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['FERRY', 'DESTROYER', 'BADMINTON', 'TROLLEY', 'TRAILERE', 'BATTLESHIP', 'SAILING', 'JEANS', 'SUIT', 'TIE', 'DIVING', 'STEAMBOAT', 'TROLLEY']","['FERRY', 'DESTROYER', 'BADMINTON', 'TROLLEY', 'TRAILER', 'BATTLESHIP', 'SAILING', 'JEANS', 'SUIT', 'TIE', 'DIVING', 'STEAMBOAT']","['VAN', 'SLIP', 'GOLF', 'SUBWAY']","['VAN', 'SLIP', 'GOLF', 'JEANS', 'SAILING', 'BATTLESHIP', 'TRAILER', 'SUBWAY', 'SUIT', 'TIE', 'DIVING', 'STEAMBOAT', 'TROLLEY', 'DESTROYER', 'BADMINTON', 'FERRY']",12.0,False,"[3001, 3457, 3654, 1962, 2070, 4413, 2108, 1763, 2605, 1157, 1796, 3455, 2735]",False,43510.0,categorized_16_5,,,,
886,reminder-worst,,reminder,26.0,668012.0,0.0-28.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['SUBWAY', 'BATTLESHIP', 'BOAT', '', '', '', 'L']",[],"['VAN', 'SLIP', 'GOLF']","['VAN', 'SLIP', 'GOLF', 'JEANS', 'SAILING', 'BATTLESHIP', 'TRAILER', 'SUBWAY', 'SUIT', 'TIE', 'DIVING', 'STEAMBOAT', 'TROLLEY', 'DESTROYER', 'BADMINTON', 'FERRY']",0.0,False,"[1696, 11113, 7075, 7291, 179, 177, 3797]",,,categorized_16_5,SUBWAY,3000.0,,
887,text-recall,,text-recall,29.0,768990.0,0.0-31.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['COTTAGE', 'HOTEL', 'BUNGALOQ', 'BOAT', 'WAGON', 'BUCKET', 'CLIPPERS', 'SEEDS', 'DORMITORTY', 'PITCHFORK', 'BROWN', 'CRIMSON']","['COTTAGE', 'HOTEL', 'BUNGALOW', 'BOAT', 'WAGON', 'BUCKET', 'CLIPPERS', 'SEEDS', 'DORMITORY', 'PITCHFORK', 'BROWN', 'CRIMSON']","['CARRIAGE', 'TAN', 'SCARLET', 'TRACTOR']","['CARRIAGE', 'TAN', 'BOAT', 'BUCKET', 'CLIPPERS', 'SEEDS', 'PITCHFORK', 'BROWN', 'CRIMSON', 'DORMITORY', 'WAGON', 'SCARLET', 'HOTEL', 'BUNGALOW', 'COTTAGE', 'TRACTOR']",12.0,False,"[5936, 1989, 4170, 4144, 1507, 2463, 2689, 1292, 5028, 1909, 1590, 3820]",True,37800.0,categorized_16_0,,,,
888,reminder-best,,reminder,30.0,827855.0,0.0-32.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['CARRIAGE', 'TRACTOR', 'BOAT', 'CANOE', 'WAGON']",['TRACTOR'],"['TAN', 'SCARLET']","['CARRIAGE', 'TAN', 'BOAT', 'BUCKET', 'CLIPPERS', 'SEEDS', 'PITCHFORK', 'BROWN', 'CRIMSON', 'DORMITORY', 'WAGON', 'SCARLET', 'HOTEL', 'BUNGALOW', 'COTTAGE', 'TRACTOR']",1.0,False,"[3004, 2772, 3059, 32525, 6113]",,,categorized_16_0,CARRIAGE,3000.0,,
889,text-recall,,text-recall,33.0,914172.0,0.0-35.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['SOLAR', 'PHAMPLET', 'SCHOOLER', 'ELECTRICITY', 'STEAM', 'BARGE', 'BULLENTIN', 'NOTE', 'MANUSCRIPT']","['SOLAR', 'PAMPHLET', 'ELECTRICITY', 'STEAM', 'BARGE', 'BULLETIN', 'NOTE', 'MANUSCRIPT']","['MAPLE', 'EVERGREEN', 'WATER', 'TANKER', 'SLOOP', 'REDWOOD', 'EUCALYPTUS', 'SCHOONER']","['BULLETIN', 'NOTE', 'MANUSCRIPT', 'MAPLE', 'EVERGREEN', 'WATER', 'TANKER', 'SLOOP', 'REDWOOD', 'EUCALYPTUS', 'STEAM', 'BARGE', 'ELECTRICITY', 'SCHOONER', 'PAMPHLET', 'SOLAR']",8.0,False,"[4251, 2653, 2780, 5989, 1527, 1219, 2762, 3214, 3881]",True,29297.0,categorized_16_4,,,,
890,reminder-random,,reminder,34.0,982880.0,0.0-36.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['EVERGREEN', 'TANKER', 'SLOOP', 'WATER', 'REDWOOD', 'SOLAR', 'EUCAPLTUS', 'STEAM', 'MANUSCRIPT']","['TANKER', 'SLOOP', 'WATER', 'REDWOOD', 'EUCALYPTUS']","['MAPLE', 'SCHOONER']","['BULLETIN', 'NOTE', 'MANUSCRIPT', 'MAPLE', 'EVERGREEN', 'WATER', 'TANKER', 'SLOOP', 'REDWOOD', 'EUCALYPTUS', 'STEAM', 'BARGE', 'ELECTRICITY', 'SCHOONER', 'PAMPHLET', 'SOLAR']",5.0,False,"[2518, 1794, 2237, 1209, 1495, 2847, 5043, 28254, 7430]",,,categorized_16_4,EVERGREEN,3000.0,,
891,text-recall,,text-recall,37.0,1125084.0,0.0-39.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['PUZZLE', 'SWAN', 'ELITE', 'JOURNAL', 'SUGAR', 'VANILLA', 'BOOKLET', 'LETTER']","['PUZZLE', 'SWAN', 'JOURNAL', 'SUGAR', 'VANILLA', 'BOOKLET', 'LETTER']","['ESSAY', 'NINTENDO', 'BLOCKS', 'DUCK', 'GINGER', 'PIGEON', 'DOVE', 'SAGE', 'KITE']","['LETTER', 'ESSAY', 'VANILLA', 'BOOKLET', 'NINTENDO', 'BLOCKS', 'DUCK', 'SUGAR', 'GINGER', 'PIGEON', 'DOVE', 'SAGE', 'JOURNAL', 'KITE', 'SWAN', 'PUZZLE']",7.0,False,"[3153, 1586, 4594, 4968, 1547, 3640, 2475, 1375]",True,24639.0,categorized_16_6,,,,
892,reminder-worst,,reminder,38.0,1197785.0,0.0-40.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['ESSAY', 'BOOKLET', 'NINTENDO', 'BLOCKS', 'DUCK', 'GINGER', 'SWAN', 'SAGE', 'DOVE', 'PIGEON']","['BLOCKS', 'DUCK', 'GINGER', 'SAGE', 'DOVE', 'PIGEON']","['NINTENDO', 'KITE']","['LETTER', 'ESSAY', 'VANILLA', 'BOOKLET', 'NINTENDO', 'BLOCKS', 'DUCK', 'SUGAR', 'GINGER', 'PIGEON', 'DOVE', 'SAGE', 'JOURNAL', 'KITE', 'SWAN', 'PUZZLE']",6.0,False,"[1584, 1614, 2512, 2105, 1128, 3024, 3062, 3606, 2871, 2278]",,,categorized_16_6,ESSAY,3000.0,,
893,text-recall,,text-recall,41.0,1278494.0,0.0-43.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['OTTOMAN', 'WILLOW', 'CABINET', 'LAMP', 'BIRTH', 'WALTZ']","['OTTOMAN', 'WILLOW', 'CABINET', 'LAMP', 'WALTZ']","['DESK', 'FIR', 'SWING', 'BUTTERFLY', 'BIRCH', 'WORM', 'BALLROOM', 'MOSQUITO', 'SALSA', 'BEETLE', 'ELM']","['WALTZ', 'DESK', 'FIR', 'SWING', 'BUTTERFLY', 'LAMP', 'CABINET', 'BIRCH', 'WORM', 'BALLROOM', 'MOSQUITO', 'SALSA', 'BEETLE', 'OTTOMAN', 'ELM', 'WILLOW']",5.0,False,"[5271, 6640, 3442, 1456, 1225, 3174]",True,23715.0,categorized_16_2,,,,
894,reminder-worst,,reminder,42.0,1352432.0,0.0-44.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['DESK', 'BALLROOM', 'SALSA', 'BEETLE', 'FIR', 'SWING', 'ELM', 'WORM', 'SALSA', 'CABINET', 'SWING', 'BUTTERFLY']","['BALLROOM', 'SALSA', 'BEETLE', 'FIR', 'SWING', 'ELM', 'WORM', 'BUTTERFLY']","['BIRCH', 'MOSQUITO']","['WALTZ', 'DESK', 'FIR', 'SWING', 'BUTTERFLY', 'LAMP', 'CABINET', 'BIRCH', 'WORM', 'BALLROOM', 'MOSQUITO', 'SALSA', 'BEETLE', 'OTTOMAN', 'ELM', 'WILLOW']",8.0,False,"[1678, 2589, 1308, 1682, 1689, 2507, 2231, 5129, 20401, 11477, 4113, 3214]",,,categorized_16_2,DESK,3000.0,,
895,text-recall,,text-recall,45.0,1423994.0,0.0-47.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['TAXI', 'ROOM', 'OPERA', 'SKA', 'STREETCAR']","['TAXI', 'ROOM', 'OPERA', 'SKA', 'STREETCAR']","['CART', 'JET', 'CLOSET', 'GOSPEL', 'BASEMENT', 'ROOF', 'BLUES', 'SCREW', 'BOLT', 'LEVEL', 'PENCIL']","['CART', 'JET', 'CLOSET', 'GOSPEL', 'BASEMENT', 'ROOF', 'BLUES', 'SCREW', 'BOLT', 'LEVEL', 'STREETCAR', 'SKA', 'PENCIL', 'OPERA', 'ROOM', 'TAXI']",5.0,False,"[4563, 2061, 3140, 1898, 4106]",True,16897.0,categorized_16_1,,,,
896,reminder-random,,reminder,46.0,1503669.0,0.0-48.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['PENCIL', 'ROOF', 'BASEMENT', 'CLOSET', 'GOSPEL', 'JET', 'CART', 'SCREW', 'BLUES', 'LEVEL', 'BOAT', 'OPERA', 'JET']","['ROOF', 'BASEMENT', 'CLOSET', 'GOSPEL', 'JET', 'CART', 'SCREW', 'BLUES', 'LEVEL']",['BOLT'],"['CART', 'JET', 'CLOSET', 'GOSPEL', 'BASEMENT', 'ROOF', 'BLUES', 'SCREW', 'BOLT', 'LEVEL', 'STREETCAR', 'SKA', 'PENCIL', 'OPERA', 'ROOM', 'TAXI']",9.0,False,"[2831, 2105, 2445, 2347, 2359, 1368, 2126, 3942, 3358, 2699, 3111, 18424, 5563]",,,categorized_16_1,PENCIL,3000.0,,
897,text-recall,,text-recall,49.0,1625288.0,0.0-51.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,"['SWIMMING', 'LAKE', 'RAIN', 'OCEAN', 'DRESS', 'TROUSERS', 'JACKET', 'GYMNASTICS', 'TYPOON', 'SOFTBALL', 'RAIN', 'DROUGHT', 'GALE', 'COAT']","['SWIMMING', 'LAKE', 'RAIN', 'OCEAN', 'DRESS', 'TROUSERS', 'JACKET', 'GYMNASTICS', 'TYPHOON', 'SOFTBALL', 'DROUGHT', 'GALE', 'COAT']","['GLACIER', 'RUGBY', 'DESERT']","['GALE', 'COAT', 'DROUGHT', 'SOFTBALL', 'GLACIER', 'TYPHOON', 'GYMNASTICS', 'RAIN', 'JACKET', 'TROUSERS', 'RUGBY', 'DESERT', 'DRESS', 'OCEAN', 'LAKE', 'SWIMMING']",13.0,False,"[3277, 1185, 1210, 2068, 2563, 4732, 1512, 3824, 6086, 2190, 3357, 2231, 2186, 1329]",True,39634.0,categorized_16_10,,,,
898,reminder-best,,reminder,50.0,1682407.0,0.0-52.0,pilot,60,opt-rems-full,debugsk1SR:debugtJYKR,False,['GLACIER'],[],"['RUGBY', 'DESERT']","['GALE', 'COAT', 'DROUGHT', 'SOFTBALL', 'GLACIER', 'TYPHOON', 'GYMNASTICS', 'RAIN', 'JACKET', 'TROUSERS', 'RUGBY', 'DESERT', 'DRESS', 'OCEAN', 'LAKE', 'SWIMMING']",0.0,False,[2429],,,categorized_16_10,GLACIER,3000.0,,
