,type,responses,trial_type,trial_index,time_elapsed,internal_node_id,mode,subject_cond,exp,uniqueid,success,recalled_list,matching_list,missing_list,shown_list,num_correct,instructions,times,correct_sizes,used_time,list_type,reminder,id,total_points
318,reminder,,reminder,53.0,1497994.0,0.0-48.0,pilot,7,expAv3,debug6jACS:debuguuStF,False,"['CHICKEN', 'DUCK', 'CHICKEN', 'DOVE']",['DUCK'],"['TRAILER', 'TRACK', 'CARRIAGE', 'VULTURE']","['ENTRANCE', 'DUCK', 'DOVE', 'TRAILER', 'CHICKEN', 'ROOF', 'TRAIN', 'TAXI', 'SOFTBALL', 'TRACK', 'CARRIAGE', 'LOBBY', 'KITCHEN', 'VULTURE', 'HANDBALL', 'DIVING']",1.0,False,"[2126, 1344, 1882, 1907]",,,categorized_16_9,CHICKEN,,
319,text-recall,,text-recall,56.0,1578575.0,0.0-51.0,pilot,7,expAv3,debug6jACS:debuguuStF,False,"['MANGO', 'FIG', 'STRAWBERRIE', 'STRAWBERRY', 'BUNGALOW', 'HOTEL', 'COTTAGE', 'ENCYCLOPEDIA']","['MANGO', 'FIG', 'STRAWBERRY', 'BUNGALOW', 'HOTEL', 'COTTAGE', 'ENCYCLOPEDIA']","['PUNK', 'REPORT', 'INSTRUMENTAL', 'DORMITORY', 'PLUM', 'ALTERNATIVE', 'JOURNAL', 'SOUL', 'PAPER']","['PUNK', 'REPORT', 'INSTRUMENTAL', 'DORMITORY', 'PLUM', 'ALTERNATIVE', 'ENCYCLOPEDIA', 'JOURNAL', 'SOUL', 'MANGO', 'FIG', 'COTTAGE', 'PAPER', 'BUNGALOW', 'STRAWBERRY', 'HOTEL']",7.0,False,"[1370, 1145, 5670, 5175, 3099, 1798, 2214, 4322]",True,26012.0,categorized_16_2,,,
320,reminder,,reminder,57.0,1646475.0,0.0-52.0,pilot,7,expAv3,debug6jACS:debuguuStF,False,['ALTERNATIVE'],[],"['PUNK', 'REPORT', 'INSTRUMENTAL', 'DORMITORY', 'PLUM', 'JOURNAL', 'SOUL', 'PAPER']","['PUNK', 'REPORT', 'INSTRUMENTAL', 'DORMITORY', 'PLUM', 'ALTERNATIVE', 'ENCYCLOPEDIA', 'JOURNAL', 'SOUL', 'MANGO', 'FIG', 'COTTAGE', 'PAPER', 'BUNGALOW', 'STRAWBERRY', 'HOTEL']",0.0,False,[2778],,,categorized_16_2,ALTERNATIVE,,
321,text-recall,,text-recall,60.0,1722049.0,0.0-55.0,pilot,7,expAv3,debug6jACS:debuguuStF,False,"['WATER', 'ELECTRICITY', 'GRAY', 'MAROON', 'FIDDLE', 'HARP', 'ACCORIDAN']","['WATER', 'ELECTRICITY', 'GRAY', 'MAROON', 'FIDDLE', 'HARP']","['NUCLEAR', 'INDIGO', 'RULER', 'OIL', 'AXE', 'CRIMSON', 'KEYBOARD', 'SCREW', 'ACCORDION', 'PENCIL']","['NUCLEAR', 'INDIGO', 'RULER', 'OIL', 'AXE', 'CRIMSON', 'FIDDLE', 'KEYBOARD', 'GRAY', 'MAROON', 'HARP', 'SCREW', 'ACCORDION', 'PENCIL', 'ELECTRICITY', 'WATER']",6.0,False,"[1706, 2463, 1118, 1503, 1329, 1636, 2430]",True,16737.0,categorized_16_0,,,
322,reminder,,reminder,61.0,1799144.0,0.0-56.0,pilot,7,expAv3,debug6jACS:debuguuStF,False,['SCREW'],[],"['NUCLEAR', 'INDIGO', 'RULER', 'OIL', 'AXE', 'CRIMSON', 'KEYBOARD', 'ACCORDION', 'PENCIL']","['NUCLEAR', 'INDIGO', 'RULER', 'OIL', 'AXE', 'CRIMSON', 'FIDDLE', 'KEYBOARD', 'GRAY', 'MAROON', 'HARP', 'SCREW', 'ACCORDION', 'PENCIL', 'ELECTRICITY', 'WATER']",0.0,False,[2138],,,categorized_16_0,SCREW,,
323,text-recall,,text-recall,64.0,1906002.0,0.0-59.0,pilot,7,expAv3,debug6jACS:debuguuStF,False,"['MONSOON', 'OPERA', 'MANUSCRIPT', 'FENCING', 'BOXING', 'LIGHTNING', 'HAIL', 'PAMPHLET', 'LETTER', 'SKA', 'BULLETIN', 'TECHNO', 'BLUEGRASS', 'DROUGHT', 'RUGBY']","['MONSOON', 'OPERA', 'MANUSCRIPT', 'FENCING', 'BOXING', 'LIGHTNING', 'HAIL', 'PAMPHLET', 'LETTER', 'SKA', 'BULLETIN', 'TECHNO', 'BLUEGRASS', 'DROUGHT', 'RUGBY']",['BOWLING'],"['MANUSCRIPT', 'BOWLING', 'FENCING', 'BOXING', 'HAIL', 'PAMPHLET', 'LETTER', 'SKA', 'BULLETIN', 'TECHNO', 'LIGHTNING', 'BLUEGRASS', 'DROUGHT', 'RUGBY', 'MONSOON', 'OPERA']",15.0,False,"[6187, 1288, 7799, 2488, 2595, 2701, 1225, 3664, 1656, 3432, 3209, 3291, 5816, 2486, 4003]",True,52221.0,categorized_16_8,,,
324,reminder,,reminder,65.0,1907010.0,0.0-60.0,pilot,7,expAv3,debug6jACS:debuguuStF,True,[],[],[],"['MANUSCRIPT', 'BOWLING', 'FENCING', 'BOXING', 'HAIL', 'PAMPHLET', 'LETTER', 'SKA', 'BULLETIN', 'TECHNO', 'LIGHTNING', 'BLUEGRASS', 'DROUGHT', 'RUGBY', 'MONSOON', 'OPERA']",0.0,False,[],,,categorized_16_8,,,
325,text-recall,,text-recall,68.0,2024176.0,0.0-63.0,pilot,7,expAv3,debug6jACS:debuguuStF,False,"['CAMEL', 'BOXERS', 'CABINET', 'OTTOMAN', 'DRESS', 'TIE', 'COAT', 'TROLLEY', 'LAMP', 'TRACTOR', 'COW', 'JET', 'HELICOPTER']","['CAMEL', 'BOXERS', 'CABINET', 'OTTOMAN', 'DRESS', 'TIE', 'COAT', 'TROLLEY', 'LAMP', 'TRACTOR', 'COW', 'JET', 'HELICOPTER']","['ANTELOPE', 'SQUIRREL', 'DESK']","['CABINET', 'ANTELOPE', 'OTTOMAN', 'DRESS', 'COAT', 'TIE', 'TROLLEY', 'TRACTOR', 'COW', 'JET', 'LAMP', 'SQUIRREL', 'HELICOPTER', 'DESK', 'CAMEL', 'BOXERS']",13.0,False,"[4162, 3020, 10664, 1672, 3045, 1034, 2898, 5852, 1663, 1719, 1403, 3083, 11372]",True,54202.0,categorized_16_7,,,
326,reminder,,reminder,69.0,2063704.0,0.0-64.0,pilot,7,expAv3,debug6jACS:debuguuStF,True,"['ANTELOPE', 'DESK', 'SQUIRREL']","['DESK', 'SQUIRREL']",[],"['CABINET', 'ANTELOPE', 'OTTOMAN', 'DRESS', 'COAT', 'TIE', 'TROLLEY', 'TRACTOR', 'COW', 'JET', 'LAMP', 'SQUIRREL', 'HELICOPTER', 'DESK', 'CAMEL', 'BOXERS']",2.0,False,"[2153, 1117, 2336]",,,categorized_16_7,ANTELOPE,,
327,survey-text,"{""Q0"":""just some words I didn't know what they meant so it was difficult to categorize them""}",survey-text,72.0,2093548.0,0.0-67.0,pilot,7,expAv3,debug6jACS:debuguuStF,,,,,,,,,,,,,,
328,total-points,,,,,,,,,debug6jACS:debuguuStF,,,,,,,,,,,,,debug6jACS:debuguuStF,89.0
329,survey-text,"{""Q0"":""6111275700ef46b7947fc941""}",survey-text,0.0,2644.0,0.0-0.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,,,,,,,,,,,,,,
330,text-recall,,text-recall,25.0,603291.0,0.0-27.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['POPLAR', 'SUNSHINE', 'REDWOOD', 'CLOUDS', 'EVERGEEN', 'WILLOW', 'FOLKS']","['POPLAR', 'SUNSHINE', 'REDWOOD', 'CLOUDS', 'EVERGREEN', 'WILLOW', 'FOLK']","['POP', 'PENCIL', 'GALE', 'LEVEL', 'ALTERNATIVE', 'SNOW', 'BLUES', 'BOLT', 'DRILL']","['SUNSHINE', 'REDWOOD', 'CLOUDS', 'POP', 'FOLK', 'PENCIL', 'GALE', 'LEVEL', 'ALTERNATIVE', 'SNOW', 'BLUES', 'EVERGREEN', 'BOLT', 'DRILL', 'WILLOW', 'POPLAR']",7.0,False,"[1639, 1466, 1430, 1559, 1409, 1484, 37369]",True,48329.0,categorized_16_3,,,
331,reminder,,reminder,26.0,648550.0,0.0-28.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,['DRILL'],[],"['POP', 'PENCIL', 'GALE', 'LEVEL', 'ALTERNATIVE', 'SNOW', 'BLUES', 'BOLT']","['SUNSHINE', 'REDWOOD', 'CLOUDS', 'POP', 'FOLK', 'PENCIL', 'GALE', 'LEVEL', 'ALTERNATIVE', 'SNOW', 'BLUES', 'EVERGREEN', 'BOLT', 'DRILL', 'WILLOW', 'POPLAR']",0.0,False,[2218],,,categorized_16_3,DRILL,,
332,text-recall,,text-recall,29.0,780645.0,0.0-31.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['TRACTOR', 'TYPHOON', 'BELT', 'SKIRT', 'JET', 'BLIZZARD', 'HAIL']","['TRACTOR', 'TYPHOON', 'BELT', 'SKIRT', 'JET', 'BLIZZARD', 'HAIL']","['ELEVATOR', 'ROOM', 'WALLS', 'FLOOR', 'VAN', 'JEANS', 'TSUNAMI', 'MOTORCYCLE', 'SUIT']","['TRACTOR', 'TYPHOON', 'BELT', 'SKIRT', 'ELEVATOR', 'ROOM', 'WALLS', 'BLIZZARD', 'FLOOR', 'JET', 'HAIL', 'VAN', 'JEANS', 'TSUNAMI', 'MOTORCYCLE', 'SUIT']",7.0,False,"[2016, 2501, 1089, 1465, 2218, 34090, 14277]",True,59428.0,categorized_16_6,,,
333,reminder,,reminder,30.0,814949.0,0.0-32.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['FLOOR', 'WALLS', 'SUIT']","['FLOOR', 'WALLS', 'SUIT']","['ROOM', 'VAN', 'JEANS', 'TSUNAMI', 'MOTORCYCLE']","['TRACTOR', 'TYPHOON', 'BELT', 'SKIRT', 'ELEVATOR', 'ROOM', 'WALLS', 'BLIZZARD', 'FLOOR', 'JET', 'HAIL', 'VAN', 'JEANS', 'TSUNAMI', 'MOTORCYCLE', 'SUIT']",3.0,False,"[2438, 3431, 15847]",,,categorized_16_6,ELEVATOR,,
334,text-recall,,text-recall,33.0,908746.0,0.0-35.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['DESK', 'CLOTH', 'LINEN', 'BOOKLET', 'NOTE', 'CEDAR', 'BEECH', 'ENCYCLOPEDIA']","['DESK', 'CLOTH', 'LINEN', 'BOOKLET', 'NOTE', 'CEDAR', 'BEECH', 'ENCYCLOPEDIA']","['LAMP', 'LEATHER', 'PAMPHLET', 'CABINET', 'FIR', 'BUREAU', 'ELM', 'FELT']","['CEDAR', 'LAMP', 'LEATHER', 'ENCYCLOPEDIA', 'PAMPHLET', 'CABINET', 'BEECH', 'FIR', 'BUREAU', 'DESK', 'CLOTH', 'LINEN', 'BOOKLET', 'NOTE', 'ELM', 'FELT']",8.0,False,"[1385, 1982, 1150, 1414, 906, 1462, 2160, 2334]",True,30433.0,categorized_16_5,,,
335,reminder,,reminder,34.0,972029.0,0.0-36.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,['LAMP'],['LAMP'],"['LEATHER', 'PAMPHLET', 'FIR', 'BUREAU', 'ELM', 'FELT']","['CEDAR', 'LAMP', 'LEATHER', 'ENCYCLOPEDIA', 'PAMPHLET', 'CABINET', 'BEECH', 'FIR', 'BUREAU', 'DESK', 'CLOTH', 'LINEN', 'BOOKLET', 'NOTE', 'ELM', 'FELT']",1.0,False,[7087],,,categorized_16_5,CABINET,,
336,text-recall,,text-recall,37.0,1051112.0,0.0-39.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['MANSION', 'PALACE', 'STREETCAR', 'BUNGALOW', 'CYCLONE', 'TIGER', 'BEAR', 'GOAT']","['MANSION', 'PALACE', 'STREETCAR', 'BUNGALOW', 'CYCLONE', 'TIGER', 'BEAR', 'GOAT']","['FOG', 'CART', 'RAIN', 'TRAILER', 'SUBWAY', 'DEER', 'THUNDER', 'HOTEL']","['TIGER', 'FOG', 'GOAT', 'PALACE', 'CYCLONE', 'CART', 'RAIN', 'STREETCAR', 'TRAILER', 'SUBWAY', 'DEER', 'THUNDER', 'HOTEL', 'BEAR', 'MANSION', 'BUNGALOW']",8.0,False,"[1806, 1414, 1559, 1599, 1711, 2220, 934, 775]",True,23048.0,categorized_16_8,,,
337,reminder,,reminder,38.0,1121759.0,0.0-40.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,['MANSION'],[],"['FOG', 'CART', 'RAIN', 'TRAILER', 'DEER', 'THUNDER', 'HOTEL']","['TIGER', 'FOG', 'GOAT', 'PALACE', 'CYCLONE', 'CART', 'RAIN', 'STREETCAR', 'TRAILER', 'SUBWAY', 'DEER', 'THUNDER', 'HOTEL', 'BEAR', 'MANSION', 'BUNGALOW']",0.0,False,[4215],,,categorized_16_8,SUBWAY,,
338,text-recall,,text-recall,41.0,1203862.0,0.0-43.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['COD', 'PERCH', 'CATFISH', 'SOIL', 'BUCKET', 'HOSE', 'FERRY', 'BARGE', 'SCHOONER']","['COD', 'PERCH', 'CATFISH', 'SOIL', 'BUCKET', 'HOSE', 'FERRY', 'BARGE', 'SCHOONER']","['JOURNAL', 'PITCHFORK', 'DESTROYER', 'LETTER', 'TUNA', 'ESSAY', 'EDITORIAL']","['COD', 'PERCH', 'CATFISH', 'JOURNAL', 'PITCHFORK', 'DESTROYER', 'SCHOONER', 'BUCKET', 'SOIL', 'FERRY', 'LETTER', 'TUNA', 'ESSAY', 'EDITORIAL', 'BARGE', 'HOSE']",9.0,False,"[1869, 1129, 1737, 1709, 1831, 898, 1547, 1151, 3977]",True,23581.0,categorized_16_2,,,
339,reminder,,reminder,42.0,1273989.0,0.0-44.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,['JOURNAL'],['JOURNAL'],"['PITCHFORK', 'DESTROYER', 'LETTER', 'TUNA', 'EDITORIAL']","['COD', 'PERCH', 'CATFISH', 'JOURNAL', 'PITCHFORK', 'DESTROYER', 'SCHOONER', 'BUCKET', 'SOIL', 'FERRY', 'LETTER', 'TUNA', 'ESSAY', 'EDITORIAL', 'BARGE', 'HOSE']",1.0,False,[15478],,,categorized_16_2,ESSAY,,
340,text-recall,,text-recall,45.0,1394426.0,0.0-47.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['TAXI', 'HELICOPTER', 'TROLLEY', 'OIL', 'BALL', 'WATER', 'WALTZ', 'TANGO', 'BALLET', 'BALLROOM', 'STEAM', 'NINTENDO']","['TAXI', 'HELICOPTER', 'TROLLEY', 'OIL', 'BALL', 'WATER', 'WALTZ', 'TANGO', 'BALLET', 'BALLROOM', 'STEAM']","['NINTENDO', 'CARRIAGE', 'ELECTRICITY', 'KITE', 'PUZZLE']","['TAXI', 'HELICOPTER', 'NINTENDO', 'TROLLEY', 'OIL', 'BALL', 'WATER', 'CARRIAGE', 'BALLET', 'ELECTRICITY', 'KITE', 'BALLROOM', 'STEAM', 'WALTZ', 'TANGO', 'PUZZLE']",11.0,False,"[1946, 2445, 1391, 1589, 931, 2007, 4139, 1131, 1395, 1744, 4938, 11779]",True,47175.0,categorized_16_1,,,
341,reminder,,reminder,46.0,1441016.0,0.0-48.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,[],[],"['NINTENDO', 'CARRIAGE', 'KITE', 'PUZZLE']","['TAXI', 'HELICOPTER', 'NINTENDO', 'TROLLEY', 'OIL', 'BALL', 'WATER', 'CARRIAGE', 'BALLET', 'ELECTRICITY', 'KITE', 'BALLROOM', 'STEAM', 'WALTZ', 'TANGO', 'PUZZLE']",0.0,False,[],,,categorized_16_1,ELECTRICITY,,
342,text-recall,,text-recall,49.0,1543622.0,0.0-51.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['WATERFALL', 'BICYCLE', 'JACKET', 'HAT', 'BOXERS', 'TROUSERS', 'BROWN', 'MAROON', 'TAN', 'BOAT', 'GLACIER', 'GRAY', 'TRAIN']","['WATERFALL', 'BICYCLE', 'JACKET', 'HAT', 'BOXERS', 'TROUSERS', 'BROWN', 'MAROON', 'TAN', 'BOAT', 'GLACIER', 'GRAY', 'TRAIN']","['WAGON', 'CAVE', 'DESERT']","['JACKET', 'GLACIER', 'HAT', 'WATERFALL', 'GRAY', 'BOXERS', 'BROWN', 'WAGON', 'TRAIN', 'CAVE', 'TROUSERS', 'BICYCLE', 'TAN', 'BOAT', 'MAROON', 'DESERT']",13.0,False,"[2912, 4680, 1987, 875, 1950, 1701, 1299, 1766, 1252, 2110, 5054, 1259, 12836]",True,43683.0,categorized_16_0,,,
343,reminder,,reminder,50.0,1593593.0,0.0-52.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,[],[],"['WAGON', 'CAVE']","['JACKET', 'GLACIER', 'HAT', 'WATERFALL', 'GRAY', 'BOXERS', 'BROWN', 'WAGON', 'TRAIN', 'CAVE', 'TROUSERS', 'BICYCLE', 'TAN', 'BOAT', 'MAROON', 'DESERT']",0.0,False,[],,,categorized_16_0,DESERT,,
344,text-recall,,text-recall,53.0,1744735.0,0.0-55.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['SHORTS', 'SUGAR', 'VALLEY', 'HILL', 'STREAM', 'COATS', 'ROBE', 'SAGE', 'GINGER', 'CLOSET', 'BATHROOM', 'PORCH', 'GORGE']","['SHORTS', 'SUGAR', 'VALLEY', 'HILL', 'STREAM', 'COAT', 'ROBE', 'SAGE', 'GINGER', 'CLOSET', 'BATHROOM', 'PORCH', 'GORGE']","['VANILLA', 'BASEMENT', 'TIE']","['CLOSET', 'VANILLA', 'STREAM', 'ROBE', 'GINGER', 'BASEMENT', 'SAGE', 'HILL', 'COAT', 'GORGE', 'BATHROOM', 'PORCH', 'TIE', 'VALLEY', 'SUGAR', 'SHORTS']",13.0,False,"[1406, 946, 1479, 1007, 1746, 1859, 1063, 7347, 1032, 4532, 2055, 1502, 14594]",False,90000.0,categorized_16_7,,,
345,reminder,,reminder,54.0,1745741.0,0.0-56.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,[],[],[],"['CLOSET', 'VANILLA', 'STREAM', 'ROBE', 'GINGER', 'BASEMENT', 'SAGE', 'HILL', 'COAT', 'GORGE', 'BATHROOM', 'PORCH', 'TIE', 'VALLEY', 'SUGAR', 'SHORTS']",0.0,False,[],,,categorized_16_7,,,
346,text-recall,,text-recall,57.0,1846827.0,0.0-59.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['ACCORDIAN', 'HARMONICA', 'KEYBOARD', 'BEETLE', 'WASP', 'WORM', 'BUTTERFLY', 'CLARINET', 'BULLETIN', 'GOSPEL', 'SKA', 'MANUSCRIPT']","['ACCORDION', 'HARMONICA', 'KEYBOARD', 'BEETLE', 'WASP', 'WORM', 'BUTTERFLY', 'CLARINET', 'BULLETIN', 'GOSPEL', 'SKA', 'MANUSCRIPT']","['DIGEST', 'REPORT', 'SOUL', 'BLUEGRASS']","['KEYBOARD', 'BULLETIN', 'HARMONICA', 'DIGEST', 'GOSPEL', 'REPORT', 'BUTTERFLY', 'SOUL', 'SKA', 'WORM', 'ACCORDION', 'WASP', 'BLUEGRASS', 'MANUSCRIPT', 'BEETLE', 'CLARINET']",12.0,False,"[2979, 2332, 1805, 1298, 1083, 1192, 1618, 1290, 1586, 1124, 857, 8574]",True,41404.0,categorized_16_4,,,
347,reminder,,reminder,58.0,1899168.0,0.0-60.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,[],[],"['DIGEST', 'REPORT', 'SOUL']","['KEYBOARD', 'BULLETIN', 'HARMONICA', 'DIGEST', 'GOSPEL', 'REPORT', 'BUTTERFLY', 'SOUL', 'SKA', 'WORM', 'ACCORDION', 'WASP', 'BLUEGRASS', 'MANUSCRIPT', 'BEETLE', 'CLARINET']",0.0,False,[],,,categorized_16_4,BLUEGRASS,,
348,text-recall,,text-recall,61.0,1994884.0,0.0-63.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,"['ROOF', 'LAKE', 'DROUGHT', 'LIZARD', 'EARTHQUAKE', 'MONSOON', 'ELK', 'ANTELOPE', 'DONKEY', 'LACROSSE', 'HANDBALL']","['ROOF', 'DROUGHT', 'LIZARD', 'EARTHQUAKE', 'MONSOON', 'ELK', 'ANTELOPE', 'DONKEY', 'LACROSSE', 'HANDBALL']","['FISHING', 'RUGBY', 'CELLAR', 'LIGHTNING', 'LOBBY', 'ATTIC']","['LIZARD', 'EARTHQUAKE', 'MONSOON', 'LACROSSE', 'FISHING', 'ROOF', 'DROUGHT', 'RUGBY', 'CELLAR', 'LIGHTNING', 'ELK', 'LOBBY', 'HANDBALL', 'ANTELOPE', 'DONKEY', 'ATTIC']",10.0,False,"[1735, 2455, 1347, 1519, 2108, 1516, 1193, 1771, 1711, 1980, 2295]",True,40825.0,categorized_16_9,,,
349,reminder,,reminder,62.0,2047699.0,0.0-64.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,False,[],[],"['FISHING', 'RUGBY', 'CELLAR', 'LIGHTNING', 'LOBBY']","['LIZARD', 'EARTHQUAKE', 'MONSOON', 'LACROSSE', 'FISHING', 'ROOF', 'DROUGHT', 'RUGBY', 'CELLAR', 'LIGHTNING', 'ELK', 'LOBBY', 'HANDBALL', 'ANTELOPE', 'DONKEY', 'ATTIC']",0.0,False,[],,,categorized_16_9,ATTIC,,
350,survey-text,"{""Q0"":""""}",survey-text,65.0,2061572.0,0.0-67.0,pilot,0,expAv3,debugG7xmE:debugz9Rzz,,,,,,,,,,,,,,
351,total-points,,,,,,,,,debugG7xmE:debugz9Rzz,,,,,,,,,,,,,debugG7xmE:debugz9Rzz,96.0
352,survey-text,"{""Q0"":""6103633e0fd9cc6d809eab4d""}",survey-text,0.0,4621.0,0.0-0.0,pilot,7,expAv3,debugJYuML:debugkBMJw,,,,,,,,,,,,,,
353,survey-text,"{""Q0"":""5e44bd856a16d33491308807""}",survey-text,0.0,2807.0,0.0-0.0,pilot,6,expAv3,debug8IRHJ:debugBMPjP,,,,,,,,,,,,,,
354,survey-text,"{""Q0"":""6115642b9b11ee0f5a138cb3""}",survey-text,0.0,3427.0,0.0-0.0,pilot,1,expAv3,debugSTnuK:debugcSWYq,,,,,,,,,,,,,,
355,text-recall,,text-recall,25.0,613495.0,0.0-27.0,pilot,1,expAv3,debugSTnuK:debugcSWYq,False,"['PENCIL', 'PEACOCK', 'DUCK', 'CHICKEN', 'FISHING', 'SKIING', 'PENCIL', 'HUNTING']","['PENCIL', 'PEACOCK', 'DUCK', 'CHICKEN', 'FISHING', 'SKIING']","['ISLAND', 'FINCH', 'LAKE', 'LEVEL', 'SAILING', 'AXE', 'RUGBY', 'HILL', 'PLATEAU', 'DRILL']","['PEACOCK', 'DUCK', 'ISLAND', 'FINCH', 'CHICKEN', 'PENCIL', 'LAKE', 'SKIING', 'LEVEL', 'SAILING', 'AXE', 'RUGBY', 'HILL', 'PLATEAU', 'FISHING', 'DRILL']",6.0,False,"[2768, 2116, 1467, 2551, 1624, 1509, 17741, 6434]",True,90000.0,categorized_16_2,,,
356,reminder,,reminder,26.0,614502.0,0.0-28.0,pilot,1,expAv3,debugSTnuK:debugcSWYq,False,[],[],[],"['PEACOCK', 'DUCK', 'ISLAND', 'FINCH', 'CHICKEN', 'PENCIL', 'LAKE', 'SKIING', 'LEVEL', 'SAILING', 'AXE', 'RUGBY', 'HILL', 'PLATEAU', 'FISHING', 'DRILL']",0.0,False,[],,,categorized_16_2,,,
357,text-recall,,text-recall,29.0,730845.0,0.0-31.0,pilot,1,expAv3,debugSTnuK:debugcSWYq,False,"['TIGER', 'FROST', 'FOG', 'EVERGREEN', 'EUCALYPTUS', 'ANTELOPE', 'DEER', 'FOG', 'PUNK', 'MAPLE']","['TIGER', 'FROST', 'FOG', 'EVERGREEN', 'EUCALYPTUS', 'ANTELOPE', 'DEER', 'PUNK', 'MAPLE']","['BLUEGRASS', 'OPERA', 'TSUNAMI', 'BIRCH', 'LIGHTNING', 'BEAR', 'POP']","['FROST', 'DEER', 'EUCALYPTUS', 'ANTELOPE', 'PUNK', 'BLUEGRASS', 'FOG', 'MAPLE', 'OPERA', 'TSUNAMI', 'BIRCH', 'EVERGREEN', 'LIGHTNING', 'BEAR', 'POP', 'TIGER']",9.0,False,"[2255, 2177, 901, 2602, 12324, 4395, 7362, 3076, 7355, 3949]",True,51554.0,categorized_16_8,,,
358,reminder,,reminder,30.0,772931.0,0.0-32.0,pilot,1,expAv3,debugSTnuK:debugcSWYq,False,[],[],"['BLUEGRASS', 'OPERA', 'BIRCH', 'LIGHTNING', 'BEAR', 'POP']","['FROST', 'DEER', 'EUCALYPTUS', 'ANTELOPE', 'PUNK', 'BLUEGRASS', 'FOG', 'MAPLE', 'OPERA', 'TSUNAMI', 'BIRCH', 'EVERGREEN', 'LIGHTNING', 'BEAR', 'POP', 'TIGER']",0.0,False,[],,,categorized_16_8,TSUNAMI,,
359,text-recall,,text-recall,33.0,878906.0,0.0-35.0,pilot,1,expAv3,debugSTnuK:debugcSWYq,False,"['OTTOMAN', 'CEILING', 'CLIPPERS', 'VOLCANO', 'LAMP', 'ROOF', 'BUREAU']","['OTTOMAN', 'CEILING', 'CLIPPERS', 'VOLCANO', 'LAMP', 'ROOF', 'BUREAU']","['PITCHFORK', 'KITCHEN', 'CLIFF', 'RIVER', 'SEEDS', 'BUCKET', 'CABINET', 'RAVINE', 'WING']","['LAMP', 'VOLCANO', 'CEILING', 'CLIPPERS', 'PITCHFORK', 'ROOF', 'BUREAU', 'KITCHEN', 'CLIFF', 'RIVER', 'SEEDS', 'BUCKET', 'CABINET', 'RAVINE', 'WING', 'OTTOMAN']",7.0,False,"[2184, 2823, 1549, 2573, 2067, 11526, 19259]",True,51522.0,categorized_16_4,,,
360,reminder,,reminder,34.0,921245.0,0.0-36.0,pilot,1,expAv3,debugSTnuK:debugcSWYq,False,['RIVER'],['RIVER'],"['PITCHFORK', 'KITCHEN', 'CLIFF', 'SEEDS', 'BUCKET', 'CABINET', 'WING']","['LAMP', 'VOLCANO', 'CEILING', 'CLIPPERS', 'PITCHFORK', 'ROOF', 'BUREAU', 'KITCHEN', 'CLIFF', 'RIVER', 'SEEDS', 'BUCKET', 'CABINET', 'RAVINE', 'WING', 'OTTOMAN']",1.0,False,[1350],,,categorized_16_4,RAVINE,,
361,text-recall,,text-recall,37.0,1035895.0,0.0-39.0,pilot,1,expAv3,debugSTnuK:debugcSWYq,False,"['NOVEL', 'WILLOW', 'ELM', 'ENCYCLOPEDIA', 'JEANS', 'TROUSERS']","['NOVEL', 'WILLOW', 'ELM', 'ENCYCLOPEDIA', 'JEANS', 'TROUSERS']","['ALTERNATIVE', 'SLIP', 'BLUES', 'SYMPHONY', 'TIE', 'FOLK', 'CEDAR', 'PAPER', 'EDITORIAL', 'POPLAR']","['ALTERNATIVE', 'SLIP', 'TROUSERS', 'JEANS', 'WILLOW', 'BLUES', 'SYMPHONY', 'TIE', 'FOLK', 'CEDAR', 'PAPER', 'ENCYCLOPEDIA', 'EDITORIAL', 'POPLAR', 'ELM', 'NOVEL']",6.0,False,"[1305, 1649, 3624, 17592, 1835, 1818]",True,55953.0,categorized_16_9,,,
